data;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

param p := 
    1 159
    2 180
    3 1
    4 169
    5 56
    6 99
    7 104
    8 143
    9 166
    10 131
    11 110
    12 10
    13 150
    14 139
    15 172
    16 59
    17 33
    18 15
    19 54
    20 175;

param r := 
    1 120
    2 115
    3 2
    4 122
    5 102
    6 23
    7 57
    8 67
    9 102
    10 1
    11 80
    12 91
    13 124
    14 74
    15 5
    16 110
    17 173
    18 104
    19 18
    20 90;

param T := 183;
param R := 187;
param M := 1000000;

end;
