data;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31;

param p := 
    1 47
    2 103
    3 4
    4 113
    5 39
    6 150
    7 98
    8 132
    9 7
    10 131
    11 35
    12 138
    13 15
    14 103
    15 38
    16 81
    17 113
    18 78
    19 77
    20 111
    21 131
    22 71
    23 121
    24 4
    25 104
    26 24
    27 52
    28 58
    29 9
    30 48
    31 59
    32 26
    33 36
    34 16
    35 136
    36 27
    37 43
    38 54
    39 130
    40 142;

param r := 
    1 60
    2 60
    3 115
    4 74
    5 23
    6 93
    7 89
    8 81
    9 32
    10 52
    11 27
    12 53
    13 153
    14 65
    15 41
    16 8
    17 26
    18 119
    19 11
    20 26
    21 113
    22 22
    23 45
    24 131
    25 121
    26 74
    27 39
    28 8
    29 95
    30 120
    31 155
    32 30
    33 36
    34 130
    35 22
    36 134
    37 18
    38 21
    39 59
    40 64;

param T := 154;
param R := 156;
param M := 1000000;

end;
