data;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

param p := 
    1 119
    2 131
    3 136
    4 1
    5 161
    6 132
    7 29
    8 42
    9 25
    10 155
    11 1
    12 138
    13 133
    14 165
    15 85
    16 46
    17 33
    18 152
    19 159
    20 149;

param r := 
    1 54
    2 59
    3 145
    4 133
    5 59
    6 72
    7 102
    8 167
    9 165
    10 61
    11 184
    12 37
    13 167
    14 146
    15 175
    16 87
    17 96
    18 104
    19 138
    20 165;

param T := 166;
param R := 187;
param M := 1000000;

end;
