data;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;

param p := 
    1 26
    2 21
    3 7
    4 60
    5 79
    6 64
    7 129
    8 43
    9 172
    10 2
    11 8
    12 22
    13 120
    14 26
    15 165
    16 80
    17 14
    18 155
    19 84
    20 117
    21 161
    22 37
    23 37
    24 92
    25 19
    26 23
    27 22
    28 23
    29 158
    30 54;

param r := 
    1 66
    2 24
    3 117
    4 40
    5 45
    6 95
    7 118
    8 92
    9 107
    10 55
    11 4
    12 160
    13 113
    14 109
    15 46
    16 74
    17 3
    18 6
    19 130
    20 94
    21 68
    22 116
    23 44
    24 69
    25 56
    26 63
    27 51
    28 149
    29 90
    30 96;

param T := 176;
param R := 164;
param M := 1000000;

end;
