data;

set J := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

param p := 
    1 65
    2 55
    3 22
    4 137
    5 20
    6 42
    7 129
    8 103
    9 43
    10 29
    11 91
    12 94
    13 44
    14 151
    15 33
    16 19
    17 53
    18 155
    19 80
    20 6;

param r := 
    1 154
    2 140
    3 165
    4 139
    5 26
    6 129
    7 7
    8 66
    9 103
    10 10
    11 77
    12 76
    13 13
    14 151
    15 117
    16 141
    17 114
    18 85
    19 136
    20 65;

param T := 166;
param R := 165;
param M := 1000000;

end;
