data;

param n := 15;
param nt := 8;
param Prelease := 0.02487845;
param Alp := 0.72;
param Bet := 0.00027;

param d :=
	0	0
	1	67
	2	32
	3	23
	4	63
	5	63
	6	80
	7	92
	8	100
	9	18
	10	49
	11	56
	12	61
	13	76
	14	30
	15	92;

param: A : al, c, PD, P :=
	0 1		30.87  45.95  182  0.369
	0 2		11.3   43.51  198  0.592
	0 3		43.46  49.44  219  0.712
	0 4		47.75  19.97  336  0.37 
	0 5		23.45  10.1   319  0.402
	0 6		11.59  14.39  205  0.94 
	0 7		28.11  36.53  411  0.577
	0 8		26.94  37.09  343  0.651
	0 9		23.29  12.63  483  0.664
	0 10		24.04  13.88  174  0.445
	0 11		45.09  17.9   374  0.512
	0 12		40.47  14.17  210  0.078
	0 13		46.05  18.39  327  0.679
	0 14		34.61  29.44  425  0.312
	0 15		30.65  31.95  279  0.716
	1 0		23.25  33.77  296  0.175
	1 2		15.62  15.96  363  0.494
	1 3		43.92  36.65  317  0.154
	1 4		27.23  22.34  201  0.017
	1 5		21.96  26.69  185  0.962
	1 6		25.51  16.85  378  0.237
	1 7		18.6   42.31  423  0.886
	1 8		10.19  48.68  286  0.917
	1 9		7.88   44.67  153  0.43 
	1 10		25.17  32.65  204  0.86 
	1 11		8.9    16.33  217  0.887
	1 12		16.66  42.38  493  0.674
	1 13		41.81  19.42  455  0.598
	1 14		48.97  27.26  386  0.482
	1 15		37.9   37.17  300  0.891
	2 0		47.09  29.09  234  0.934
	2 1		5.73   17.27  116  0.479
	2 3		49.28  13.72  470  0.474
	2 4		40.43  48.09  249  0.384
	2 5		28.82  21.43  177  0.081
	2 6		40.77  20.91  475  0.739
	2 7		19.98  11.13  290  0.956
	2 8		17.77  21.82  232  0.689
	2 9		14.26  30.02  244  0.619
	2 10		43.68  46.37  247  0.775
	2 11		36.86  27.92  163  0.536
	2 12		43.69  21.09  128  0.481
	2 13		30.36  46.81  203  0.212
	2 14		33.33  15.55  296  0.302
	2 15		9.28   37.57  297  0.084
	3 0		23.93  24.03  213  0.908
	3 1		42.06  16.22  389  0.891
	3 2		30.78  42.99  289  0.361
	3 4		34.75  20.99  112  0.002
	3 5		8.28   46.91  175  0.858
	3 6		22.92  47.81  328  0.614
	3 7		39.2   44.63  446  0.976
	3 8		22.46  14.04  194  0.152
	3 9		8.15   48.11  381  0.041
	3 10		30.17  40.49  268  0.386
	3 11		11.77  27.75  157  0.688
	3 12		34.45  22.61  106  0.484
	3 13		12.79  29.41  217  0.308
	3 14		40.76  40.94  350  0.303
	3 15		26.42  19.48  407  0.227
	4 0		25.59  37.57  328  0.906
	4 1		40.02  13.55  395  0.433
	4 2		7.11   49.22  279  0.4  
	4 3		35.13  29.61  414  0.092
	4 5		33.95  46.39  376  0.72 
	4 6		24.63  13.02  350  0.407
	4 7		49.17  47.71  144  0.844
	4 8		45.23  31.57  251  0.48 
	4 9		12.8   35.56  206  0.075
	4 10		34.26  23.11  258  0.044
	4 11		24.65  24.68  429  0.26 
	4 12		36.71  23.52  191  0.732
	4 13		21.29  35.99  372  0.911
	4 14		49.66  17.12  390  0.593
	4 15		44.49  31.73  203  0.14 
	5 0		27.18  22.97  156  0.417
	5 1		37.08  11.38  424  0.103
	5 2		38.11  13.77  204  0.722
	5 3		29.49  25.5   147  0.767
	5 4		22.97  32.56  424  0.526
	5 6		46.71  13.91  108  0.264
	5 7		13.21  21.87  449  0.144
	5 8		20.6   49.12  448  0.523
	5 9		26.27  47.92  413  0.163
	5 10		44.68  37.46  308  0.114
	5 11		49.89  37.96  293  0.84 
	5 12		40.34  31.19  487  0.719
	5 13		33.88  43.09  421  0.928
	5 14		47.98  40.18  467  0.175
	5 15		26.82  24.45  251  0.091
	6 0		44.97  28.84  166  0.724
	6 1		7.68   36.78  396  0.256
	6 2		37.16  33.73  303  0.017
	6 3		5.01   45.36  458  0.035
	6 4		16.67  32.81  168  0.038
	6 5		25.02  16.03  391  0.672
	6 7		47.68  25.61  142  0.116
	6 8		39.88  22.74  153  0.344
	6 9		11.29  12.94  379  0.743
	6 10		6.96   11.6   325  0.465
	6 11		12.59  36.68  327  0.096
	6 12		23.74  10.04  118  0.302
	6 13		15.18  39.5   315  0.057
	6 14		42.38  40.88  350  0.658
	6 15		28.09  22.06  348  0.155
	7 0		49.48  35.2   313  0.915
	7 1		17.64  14.85  443  0.71 
	7 2		31.58  31.76  109  0.117
	7 3		33.6   15.94  187  0.205
	7 4		16.82  26.49  109  0.498
	7 5		26.05  24.27  223  0.258
	7 6		15.59  47.37  175  0.619
	7 8		20.4   28.7   348  0.215
	7 9		12.95  44.54  438  0.578
	7 10		40.23  26.03  403  0.971
	7 11		28.74  11.41  281  0.672
	7 12		49.75  28.17  374  0.723
	7 13		34.37  34.95  412  0.946
	7 14		5.52   45.56  352  0.682
	7 15		32.82  18.57  161  0.925
	8 0		9.42   28.26  389  0.745
	8 1		7.12   14.91  491  0.286
	8 2		28.81  26.16  467  0.729
	8 3		14.01  36.94  226  0.763
	8 4		29.98  44.34  136  0.598
	8 5		8.37   46.85  465  0.679
	8 6		7.52   49.73  379  0.41 
	8 7		18.99  24.82  482  0.616
	8 9		47.49  34.27  270  0.603
	8 10		41.19  26.94  486  0.981
	8 11		23.14  28.07  371  0.7  
	8 12		21.98  47.37  418  0.097
	8 13		27.3   29.61  354  0.533
	8 14		13.1   24.35  127  0.407
	8 15		35.16  10.99  193  0.066
	9 0		19.05  39.66  315  0.961
	9 1		33.1   36.95  256  0.978
	9 2		18.38  10.9   343  0.14 
	9 3		19.39  12.73  255  0.092
	9 4		30.49  20.56  263  0.219
	9 5		43.4   11.72  358  0.293
	9 6		36.05  26.56  145  0.576
	9 7		36.85  42.8   113  0.655
	9 8		45.3   45.22  273  0.924
	9 10		39.02  34.87  308  0.147
	9 11		23.56  29.54  485  0.829
	9 12		6.89   45.14  415  0.367
	9 13		24.4   24.44  412  0.541
	9 14		32.12  39.85  371  0.157
	9 15		11.99  21.47  328  0.886
	10 0		14.05  30.61  315  0.769
	10 1		20.26  35.09  302  0.609
	10 2		13.27  31.14  403  0.955
	10 3		30.18  25.83  211  0.206
	10 4		29.98  20.13  288  0.53 
	10 5		46.22  40.56  361  0.045
	10 6		41.06  48.22  487  0.111
	10 7		42.21  33.53  102  0.659
	10 8		12.23  15.61  461  0.808
	10 9		38.13  21.4   254  0.167
	10 11		23.07  17.35  199  0.757
	10 12		42.12  20.25  141  0.827
	10 13		14.06  14.07  343  0.507
	10 14		38.75  16.7   231  0.397
	10 15		20.52  15.99  121  0.484
	11 0		43.75  32.6   351  0.638
	11 1		28.95  22.07  301  0.554
	11 2		33.46  22.7   201  0.051
	11 3		9.46   17.12  427  0.457
	11 4		8.59   17.32  190  0.404
	11 5		16.86  35.69  176  0.733
	11 6		12.67  30.4   117  0.48 
	11 7		6.37   11.48  261  0.878
	11 8		21.86  16.3   492  0.058
	11 9		25.27  10.7   315  0.34 
	11 10		19.2   18.68  350  0.765
	11 12		44.83  43.75  427  0.418
	11 13		32.43  42.3   228  0.127
	11 14		49.33  33.65  366  0.059
	11 15		44.06  11.61  362  0.385
	12 0		39.99  17.16  300  0.26 
	12 1		14.52  35.29  455  0.094
	12 2		40.5   28.41  388  0.573
	12 3		19.97  13.73  477  0.935
	12 4		13.11  13.78  172  0.997
	12 5		48.0   33.55  259  0.151
	12 6		27.53  35.13  187  0.524
	12 7		6.76   34.18  100  0.561
	12 8		24.81  30.06  178  0.228
	12 9		17.37  20.87  286  0.792
	12 10		32.0   30.45  190  0.824
	12 11		29.14  10.16  154  0.131
	12 13		30.65  45.09  149  0.671
	12 14		37.31  48.94  268  0.331
	12 15		30.13  28.74  345  0.833
	13 0		30.56  45.18  183  0.195
	13 1		34.29  44.32  300  0.739
	13 2		19.15  42.45  477  0.725
	13 3		11.17  39.56  270  0.65 
	13 4		25.31  44.49  169  0.816
	13 5		30.61  33.22  203  0.692
	13 6		9.61   15.11  190  0.083
	13 7		7.86   34.48  472  0.182
	13 8		36.62  37.81  307  0.702
	13 9		33.43  19.05  207  0.163
	13 10		42.76  37.37  298  0.118
	13 11		39.48  26.05  161  0.193
	13 12		40.37  23.03  324  0.361
	13 14		17.1   23.35  103  0.597
	13 15		42.22  48.91  380  0.221
	14 0		37.25  42.49  177  0.696
	14 1		36.14  21.4   267  0.6  
	14 2		46.14  31.78  224  0.393
