data;

param n := 5;
param nt := 2;
param Prelease := 0.02487845;
param Alp := 0.72;
param Bet := 0.00027;

param d :=
	0	0
	1	66
	2	58
	3	68
	4	95
	5	50;

param: A : al, c, PD, P :=
	0 1		39.54  25.02  417  0.12 
	0 2		35.2   47.85  233  0.882
	0 3		37.15  11.68  351  0.01 
	0 4		24.95  23.71  178  0.925
	0 5		29.79  12.41  129  0.711
	1 0		45.21  14.73  340  0.922
	1 2		9.38   33.71  307  0.998
	1 3		39.27  12.69  106  0.121
	1 4		21.38  29.44  303  0.81 
	1 5		42.48  21.89  388  0.618
	2 0		43.63  25.31  180  0.912
	2 1		19.32  19.59  440  0.997
	2 3		23.6   44.37  454  0.557
	2 4		19.19  27.91  254  0.938
	2 5		32.53  10.9   157  0.631
	3 0		34.53  34.69  211  0.009
	3 1		19.8   22.34  438  0.027
	3 2		34.32  38.02  308  0.827
	3 4		7.73   44.06  289  0.391
	3 5		25.04  40.25  380  0.67 
	4 0		32.0   36.02  226  0.15 
	4 1		14.17  28.58  281  0.327
	4 2		6.21   37.99  253  0.718
	4 3		47.41  32.62  407  0.124
	4 5		7.2    32.01  375  0.681
	5 0		32.5   12.92  428  0.277
	5 1		6.19   46.83  259  0.22 
	5 2		23.72  44.3   130  0.389
	5 3		7.45   40.57  269  0.896
	5 4		39.98  33.66  419  0.878;

param Q :=
	1	203
	2	166;

param TTAR :=
	1	0.57
	2	0.19;

param f :=
	1	44
	2	30;

